-,-,-
-896, 192, 600
-896, 192, 600
-800, 157, 619
-955, 169, 634
-930, 263, 632
-958, 246, 615
-977, 252, 610
-1027, 239, 666
-1049, 230, 682
-1084, 253, 677
-1121, 235, 697
-1137, 249, 696
-1109, 212, 668
-1109, 212, 668
-1121, 221, 642
-1092, 152, 641
-1030, 130, 584
-1010, 87, 563
-981, 38, 534
-900, 16, 490
-780, -12, 447
-624, 8, 378
-470, 2, 267
-470, 2, 267
-,-,-
-960, 78, 663
-1106, 172, 536
-1110, 253, 598
-1240, 268, 582
-1362, 144, 577
-1448, 97, 631
-1400, 116, 690
-1389, 150, 674
-1309, 84, 657
-1309, 84, 657
-1152, 77, 613
-988, 115, 556
-868, 125, 498
-734, 151, 413
-587, 180, 295
-529, 90, 206
-514, -32, 175
-519, -71, 168
-,-,-
-905, 134, 520
-982, 165, 503
-907, 32, 510
-894, 96, 513
-894, 96, 513
-929, 163, 482
-987, 160, 487
-1078, 160, 495
-1149, 176, 511
-1178, 135, 525
-1209, 78, 511
-1223, 45, 500
-1208, 44, 498
-1169, 45, 482
-1169, 45, 482
-1096, 74, 472
-1024, 77, 437
-974, 103, 403
-918, 135, 398
-,-,-
-1090, 96, 570
-1100, 142, 570
-1056, 108, 614
-1028, 55, 604
-1041, 108, 590
-984, 82, 537
-957, 124, 499
-976, 126, 489
-1030, 121, 496
-1099, 174, 481
-1137, 216, 506
-1183, 151, 536
-1183, 151, 536
-1209, 102, 551
-1162, 38, 547
-1105, 16, 501
-977, 72, 475
-885, 88, 460
-839, 24, 425
-783, 32, 382
-722, 19, 334
-722, 19, 334
-653, 50, 279
-,-,-
-849, 20, 482
-911, 60, 500
-902, 85, 555
-954, 31, 520
-963, 53, 503
-963, 53, 503
-958, 80, 504
-963, 86, 530
-979, 90, 522
-1001, 70, 518
-1026, 81, 478
-1066, 126, 492
-,-,-
-1027, 10, 666
-1026, 41, 549
-905, 16, 490
-866, -22, 383
-816, 97, 376
-800, -4, 312
-800, -4, 312
-774, -112, 230
-757, -103, 218
-,-,-
-1008, 237, 774
-1071, 345, 811
-1098, 321, 810
-1113, 325, 805
-1088, 318, 789
-1052, 293, 769
-1042, 277, 745
-1045, 212, 719
-992, 194, 685
-992, 194, 685
-929, 221, 667
-897, 203, 665
-867, 187, 649
-886, 160, 588
-837, 87, 495
-729, 181, 448
-635, 135, 319
-556, 132, 233
-,-,-
-1126, 207, 842
-1163, 225, 883
-1208, 124, 867
-1157, 125, 822
-1115, 169, 786
-1115, 169, 786
-1117, 129, 724
-1133, 93, 718
-1096, 83, 704
-1017, 78, 670
-961, 64, 626
-939, -19, 570
-744, 142, 574
-674, 108, 483
-545, 149, 369
-545, 149, 369
-485, 95, 223
-499, 19, 127
-,-,-
-1141, 86, 757
-1157, 158, 801
-1176, 139, 802
-1203, 109, 809
-1218, 108, 810
-1196, 141, 792
-1190, 145, 761
-1158, 77, 754
